Gene mut_lof mut_silentCFPK mut_damaging dn_lof_SCZ dn_silentCFPK_SCZ dn_damaging_SCZ caseData1_SCZ caseData2_SCZ caseData3_SCZ controlData1_SCZ controlData2_SCZ controlData3_SCZ BF_SCZ PP_SCZ qvalue_SCZ dn_damaging_ASD dn_lof_ASD caseData_ASD controlData_ASD BF_ASD PP_ASD qvalue_ASD dn_damaging_DD dn_lof_DD BF_DD PP_DD qvalue_DD dn_damaging_ID dn_lof_ID BF_ID PP_ID qvalue_ID dn_damaging_EPI dn_lof_EPI BF_EPI PP_EPI qvalue_EPI
CEP85L 2.21148598259369e-06 6.7119e-07 2.32779e-06 0 0 0 1 0 0 0 1 2 0.85786420911827 0.0695062572304723 0.903360311801848 0 0 0 0 0.550832814589375 0.0249762007799892 0.946384584373007 0 0 0.124787230300503 0.00363248686059678 0.964643082987399 1 1 1703.50977094986 0.977881347552772 0.00530631082185637 0 0 0.773047168833587 0.0088637715768421 0.986514072048301
CHAMP1 1.19097206899173e-06 1.11606e-10 6.4402e-07 0 0 0 0 0 0 0 0 0 0.94348693275142 0.0759169563481475 0.897878025731676 0 0 0 0 0.7338420573485 0.0330004767508106 0.933124517256587 0 5 2106939502.3844 0.999999983754481 1.20214571630584e-09 0 1 78.752448264368 0.671467639365551 0.101729791838874 0 0 0.897791209857219 0.0102793860239242 0.983254317549201
CHD2 5.77591540462115e-06 1.11606e-10 1.04146e-10 0 0 0 0 0 0 0 0 0 0.845656090928625 0.0685849651809095 0.903511499969137 0 5 0 0 2594830.59159161 0.999991713024868 1.98961117559016e-06 0 6 6103339879.51468 0.99999999439187 4.84350174346977e-10 0 2 3252.38766980829 0.988291536633097 0.00254408220259175 0 1 62.0279371749866 0.417783373579492 0.438936622614493
CHD3 6.53980174660845e-06 9.90084e-06 1.43599e-05 0 0 0 2 0 0 5 0 1 0.361500693351218 0.0305169585954615 0.917799632002892 0 0 0 0 0.151224432610034 0.00698344646181344 0.954775787050134 3 1 544.365009310278 0.94084217124593 0.00908901448958784 0 0 0.111503369622496 0.00288546564270002 0.97416075187283 0 0 0.321375430526029 0.00370407894639276 0.988315347343554
CHD4 5.8352561741351e-06 1.12537e-06 2.46874e-05 0 0 1 4 2 0 1 2 0 2.93503521151926 0.203547246239351 0.63265671467125 0 0 0 2 0.0888434809228562 0.00411458741215917 0.955099006846641 5 1 64699.4710647042 0.999471244101043 5.18642408871174e-05 0 0 0.0727534066073721 0.00188459034998326 0.974259335437541 0 0 0.200802469737543 0.00231761112452056 0.988375601288917
CHD7 7.5270932316448e-06 2.88863e-06 1.64936e-05 0 0 0 2 1 1 6 0 1 0.421473935324417 0.0354005201192077 0.916769694010193 1 1 0 0 8.45980550597542 0.28233909721313 0.512921486045229 2 2 676.560063749352 0.95184456311371 0.00536717838312052 0 1 8.33976681833401 0.177928786712291 0.48011152623612 0 0 0.271497549903291 0.00313100106759045 0.988344642964267
CHD8 7.3524426636848e-06 1.11606e-10 2.00668e-05 1 0 0 1 0 0 0 2 1 6.59701049548009 0.364850546438397 0.474638820441405 3 12 0 0 1689794188242460672 1 0 0 3 86.5835427469351 0.716680770399963 0.0559896382930926 0 1 7.0896739469568 0.155402778585769 0.491430001584928 0 0 0.229681004613829 0.0026500365618822 0.988363736553554
CHMP2A 5.35819350494815e-07 1.26701e-06 2.67336e-06 0 0 1 0 0 0 0 0 0 1.37881774611269 0.107190779332228 0.815208402215959 0 0 0 0 0.81190216754147 0.0363830810201881 0.922537909813786 0 0 0.40336849937429 0.0116473800093325 0.943800893364337 0 1 80.5024121097996 0.676297517022159 0.0950693442499287 0 0 0.844348033685442 0.00967340010674389 0.985194562323033
CLDN5 5.4506815356102e-07 1.0705e-05 3.18516e-06 0 0 0 0 0 0 0 0 0 0.951264320547264 0.0764948873034582 0.895064559770784 0 0 0 0 0.799054184291092 0.0358279630757749 0.924618345034757 2 0 196.841426305681 0.851870159728212 0.0261028440810423 0 0 0.740689330740101 0.0188603515646895 0.961436077016679 0 0 0.822299264013111 0.00942317540590534 0.985715863868204
CLTC 4.1991313353424e-06 7.15565e-08 1.74427e-05 0 0 0 3 4 1 2 0 1 5.99583312022711 0.343006581386495 0.494976308139174 0 0 0 0 0.238631677392732 0.0109755546382479 0.954063229053614 2 3 553937.503448744 0.999938212866378 5.55604369171195e-06 0 2 1683.95435136987 0.977630234023025 0.00627717139724998 0 0 0.319148265313857 0.00367850371934333 0.988316598746032
CNOT3 2.11370156523541e-06 5.46345e-06 6.53953e-06 0 0 0 0 0 0 1 0 0 0.667904830484997 0.0549611898080982 0.91021960575193 0 2 0 0 302.997524433714 0.933733717819908 0.0201946185726428 2 2 236669.183413533 0.999855395724285 1.19624413206749e-05 0 0 0.438710852241247 0.0112575638935786 0.97179843135604 0 0 0.628819619633826 0.00722199925278724 0.987672812641817
COL4A3BP 2.30956120436964e-06 5.17036e-06 4.73721e-06 0 0 0 2 0 0 1 1 0 0.864547534764281 0.0700098463374208 0.903256072720995 0 0 0 0 0.50482760061237 0.0229380527331061 0.948144291602791 4 0 24739.252207056 0.998618348141716 0.000112592626092054 3 0 13466.8763303221 0.997146949726961 0.000216080884116022 0 0 0.680211566636648 0.0078076278972178 0.987387497252361
